Author,final_sentiment
@B3RRYM4N,unknown
@BABO_V12,unknown
@BAEGOPA365,SAMSUNG
@BB-hd8tf,KIA
@BB911OK,SAMSUNG
@BBAEB2,SAMSUNG
@BF_SW,KIA
@BG-jx9yf,KIA
@BIN_17_here,SAMSUNG
@BJKPD5_luv,KIA
@BODOCOLLI,unknown
@BONG_GUN,unknown
@BTSarmy__0324,KIA
@BVLGARI-b6t,unknown
@BY-zl4rt,unknown
@BYLee-mx6gc,SAMSUNG
@BYONOC,unknown
@BY_CHAN,unknown
@BY_bbobbo.couple,KIA
@B_Light_56,SAMSUNG
@Backhon,unknown
@Baeeek-c1z,SAMSUNG
@Bambie_68,KIA
@Baomoonstar,SAMSUNG
@BattaDynasty,unknown
@Bbbbbbbooooooroororo,unknown
@Bbbhh-c4u,KIA
@Bbivvibbbbo,SAMSUNG
@Bboongbbong1313,SAMSUNG
@Bdudjdjdjje,KIA
@BeHappy-p3r,SAMSUNG
@BeaFlorita,KIA
@Beluga-Josudi,SAMSUNG
@BiSu63,SAMSUNG
@BigLongStone,SAMSUNG
@BigTsu,KIA
@Bigcoconut_a,SAMSUNG
@Bijulrian,KIA
@BikashNag-s9y,SAMSUNG
@Binny_0321,SAMSUNG
@Bitter_Taste_of_Fear,SAMSUNG
@BlackPoem23,SAMSUNG
@Blackgrays,unknown
@BlueberryJelly,KIA
@Bluebloooood,SAMSUNG
@Bluelions78,SAMSUNG
@Blues-q2z,unknown
@Bmm344,unknown
@Bmsdyb,KIA
@Bo_Ri_,KIA
@Boalbebe,KIA
@Bodam514391,SAMSUNG
@Bohemian1024,SAMSUNG
@Boksun-Kim,KIA
@Bonbongsarang,KIA
@Bongban__g,SAMSUNG
@Bongzzang,KIA
@Bonniejin94,KIA
@Boo-g6i3y,KIA
@BooBoRoBom,SAMSUNG
@BooYs,SAMSUNG
@Booryu,SAMSUNG
@Boravo450,KIA
@Bostontrees,SAMSUNG
@Bottega_veneta12,unknown
@Brastia,KIA
@BroironJ,unknown
@BudleGaemi,unknown
@Bunnies0722-z2c,KIA
@Busan-eh4hs,SAMSUNG
@Butter486,unknown
@B감자,KIA
@CABUU223,unknown
@CASINO-DOBAK,SAMSUNG
@CHAE-p9m,KIA
@CHO1JIHO,unknown
@CHOBINNI,SAMSUNG
@CHOOMEN,KIA
@CLAYTONJEONG,SAMSUNG
@COAQAKODSA,unknown
@CPASSA,SAMSUNG
@CRYSTAL0128,KIA
@CSMBH-e3s,SAMSUNG
@CanyonBaby,SAMSUNG
@CareForU카루,KIA
@Carrot_Kim._.0o0,KIA
@Cathy-so5zu,SAMSUNG
@Chaeri-nl8tt,KIA
@Cham_sea77,KIA
@ChanHae-qm5jx,SAMSUNG
@ChandansinhRathod-ug1rw,SAMSUNG
@Chanel82199,unknown
@Chano_gg,KIA
@Charlie-vd5of,KIA
@CheckKim,KIA
@ChefStorybook,unknown
@Cherry_cokev12,KIA
@Cherry_eri_,SAMSUNG
@Cheyenne_773,SAMSUNG
@Chhchxhxhxh,SAMSUNG
@Chhooct,KIA
@ChoJuA0213,SAMSUNG
@ChocIceCreamNomNom,KIA
@Chrryblossomlondon,KIA
@Chubichuba,KIA
@Cielians,SAMSUNG
@Cjdksncndjsk,unknown
@Club_Tottenham,SAMSUNG
@Codeaa-o7r,SAMSUNG
@CompassionateSolomon,SAMSUNG
@CookiePList,SAMSUNG
@Cora428,SAMSUNG
@Cosair-j5e,SAMSUNG
@Cottonn14,SAMSUNG
@Coup-coffe,KIA
@Coupang-q7n,unknown
@Ctcher-b6q,unknown
@Curly_kindrain,unknown
@Cyril-N2H,SAMSUNG
@C민물장어의꿈,SAMSUNG
@D.Lillard,KIA
@D.xx0,unknown
@DAENG-jf2s,SAMSUNG
@DD-n1q,unknown
@DDANIJEONG-pe7kn,KIA
@DDONG_BBANG,unknown
